date,open,high,low,close,volume,average,barCount
2025-05-16 15:50:00-04:00,521.23,521.45,521.08,521.27,206962.0,521.256,1427
2025-05-16 15:51:00-04:00,521.28,521.4,521.06,521.17,152669.0,521.249,1004
2025-05-16 15:52:00-04:00,521.18,521.38,521.18,521.35,136455.0,521.262,924
2025-05-16 15:53:00-04:00,521.37,521.51,521.32,521.43,151161.0,521.432,1007
2025-05-16 15:54:00-04:00,521.44,521.5,521.18,521.19,205288.0,521.346,1369
2025-05-16 15:55:00-04:00,521.23,521.52,521.21,521.31,227297.0,521.358,1598
2025-05-16 15:56:00-04:00,521.32,521.33,521.11,521.29,172127.0,521.221,1359
2025-05-16 15:57:00-04:00,521.28,521.58,521.27,521.52,216249.0,521.434,1406
2025-05-16 15:58:00-04:00,521.52,521.62,521.36,521.44,417392.0,521.453,2835
2025-05-16 15:59:00-04:00,521.43,521.7,521.35,521.52,648771.0,521.505,3812
2025-05-19 09:30:00-04:00,514.3,515.49,514.24,515.47,621373.0,514.627,1707
2025-05-19 09:31:00-04:00,515.48,515.75,514.97,515.17,229489.0,515.359,1355
2025-05-19 09:32:00-04:00,515.15,515.5,514.81,515.32,170884.0,515.126,1050
2025-05-19 09:33:00-04:00,515.33,515.5,514.98,515.37,180643.0,515.228,1001
2025-05-19 09:34:00-04:00,515.36,515.73,515.32,515.38,168239.0,515.543,972
2025-05-19 09:35:00-04:00,515.37,515.54,515.08,515.52,150616.0,515.319,1018
2025-05-19 09:36:00-04:00,515.5,516.4,515.46,516.23,275473.0,515.971,1639
2025-05-19 09:37:00-04:00,516.24,516.44,516.07,516.33,272323.0,516.286,1378
2025-05-19 09:38:00-04:00,516.37,516.68,516.3,516.58,170627.0,516.478,977
2025-05-19 09:39:00-04:00,516.57,516.93,516.53,516.78,195764.0,516.737,1044
2025-05-19 09:40:00-04:00,516.76,517.38,516.68,517.06,260241.0,517.162,1582
2025-05-19 09:41:00-04:00,517.07,517.3,516.85,516.97,260200.0,517.04,1478
2025-05-19 09:42:00-04:00,516.97,517.04,516.45,517.04,234991.0,516.74,1397
2025-05-19 09:43:00-04:00,517.07,517.4,517.01,517.31,138019.0,517.233,893
2025-05-19 09:44:00-04:00,517.32,517.47,517.13,517.45,155099.0,517.288,963
2025-05-19 09:45:00-04:00,517.43,517.67,516.92,517.56,492366.0,517.179,1209
2025-05-19 09:46:00-04:00,517.55,517.59,517.17,517.18,144289.0,517.311,842
2025-05-19 09:47:00-04:00,517.18,517.86,517.07,517.8,144824.0,517.445,899
2025-05-19 09:48:00-04:00,517.8,518.37,517.79,518.36,206055.0,518.142,1184
2025-05-19 09:49:00-04:00,518.36,518.44,518.04,518.14,143414.0,518.221,835
2025-05-19 09:50:00-04:00,518.13,518.41,518.03,518.14,111758.0,518.211,789
2025-05-19 09:51:00-04:00,518.14,518.36,517.88,518.07,154530.0,518.09,887
2025-05-19 09:52:00-04:00,518.1,518.29,518.05,518.2,93074.0,518.185,548
2025-05-19 09:53:00-04:00,518.18,518.21,517.83,517.92,125019.0,517.976,772
2025-05-19 09:54:00-04:00,517.91,518.09,517.76,517.93,102985.0,517.9,629
2025-05-19 09:55:00-04:00,517.9,518.26,517.88,518.25,56773.0,518.067,383
2025-05-19 09:56:00-04:00,518.26,518.3,517.67,517.95,233988.0,517.921,794
2025-05-19 09:57:00-04:00,517.96,518.2,517.91,517.99,48887.0,518.047,326
2025-05-19 09:58:00-04:00,518.0,518.12,517.88,518.03,55345.0,518.013,350
2025-05-19 09:59:00-04:00,518.03,518.17,517.94,518.01,73408.0,518.066,485
2025-05-19 10:00:00-04:00,517.99,518.27,517.8,517.95,141870.0,518.054,950
2025-05-19 10:01:00-04:00,517.97,518.75,517.84,518.74,171884.0,518.391,1129
